film_key,review_clean
Manila in the Claws of Light (1975),"I often struggle to connect with films that are just so relentlessly depressing. And while Manila in the Claws of Light certainly falls into that, it also presents this dreamlike escape as a representation of what the characters aspire to. Without that, it would simply be bleak realism under the Marcos regime- not too dissimilar to how Lav Diaz explores it in a remote village in From What Is Before- but instead in a bustling city, where its residents are forced to find any way to make a living, without ever truly living."
Wicked (2024),"Great production design, and stellar vocal performances from Erivo and Grande, but god if this doesn't look fuck ugly. So many scenes with such great sets ruined by a cacophony of back lighting and listless camerawork- just imagine if Paul King or someone had directed this instead. Also, this is far too long, like way too long, especially for just a part one, and focuses on mostly all the wrong stuff. Still, liked this more than I thought I would have, mainly due to that main duo."
A Complete Unknown (2024),"Not gonna pretend I know much about Bob Dylan or his music, but A Complete Unknown brushes over not only most of his characterisation, but also just about every major American event across the sixties from the Cuban Missile Crisis to the Civil Rights Movement just in case you forgot what period you were watching. The reason Walk the Line worked- at least narratively- was because Johnny Cash's story was so much more tangible, but when faced with something, or rather someone, more nebulous, Mangold finds himself unable to draw a singular throughline that the audience can latch onto, and it'd probably have been best had this been told from Edward Norton's Pete Seeger's perspective instead. Still, if you're looking for something that's essentially a montage of Dylan's music, (I hadn't listened to much of his music at all prior to this, but rest assured I will be now) then you'll probably enjoy yourself."
Julien Donkey-Boy (1999),Yeah... no-one's doing it like this.
Mickey 17 (2025),"How does one follow up to Parasite ? Well director Bong Joon-ho is no stranger to sci-fi creature features- see The Host- so Mickey 17 isn't so much of a departure, especially now that it's his third English language film. It felt very evocative of Starship Troopers , although the heavy-handed satire sometimes verged on being a detriment, mostly because whenever we're focused on Pattinson, it's an absolute romp, and whenever we veer away from him, the film feels less assured. As such, it loses some of its steam in the back half, where it definitely feels like this has been chopped down, but still remains a fun enough time."
The End of Violence (1997),"Looks great, but it's also totally bizarre that this doesn't really aim to tell any coherent story. Dreamlike in its vibe, but also the fact that it almost put me to sleep."
Nowhere (1997),So good. Definitely something that lends itself to lots of rewatches. Can't wait to watch more of Araki's stuff.
The Electric State (2025),Think I know who Luigi Mangione's next two targets should be.
Z (1969),"Spectacular editing and camerawork here- truly a masterclass. Took a little time to figure out what was what considering the blistering pace with which some of the events are explained, but in retrospect, Z is ultimately a straightforward story whose message is brilliantly transferable to similar regimes stretching even to the modern day, and remains emblematic of a culture that seeks to silence rather than empower. ""Any similarity to actual events or persons living or dead is not coincidental. It is INTENTIONAL."""
Companion (2025),"Largely a generic reshuffle of themes that have been dealt with before, and far better- see Ex Machina . Sophie Thatcher is good, but ultimately Companion doesn't really think hard enough about what it's trying to say, and ends up making a few points that feel antithetical to what it's trying to accomplish."
His Three Daughters (2023),"Enjoyed this a fair bit. Love all three of the actresses, especially Olsen. Definitely feels like it misses the trick in actually developing the relationship between these sisters (really can't believe they didn't share a joint at any point throughout this) rather than just airing their issues out, and the dad reveal in the final act doesn't quite work for me, but it's wonderfully shot, and purposefully theatrical, which is always appreciated."
"Black Coal, Thin Ice (2014)","Gorgeously shot by Dong Jinsong, who also did Bi Gan's Long Day's Journey Into Night (and is shooting his upcoming film Resurrection too), so it's no surprise really that this looks as good as it does. A bit like Decision to Leave, mostly because of its noir trappings, although notably less romantic and more bleak in its outlook. Diao Yinan crafts a mystery that often feels less about uncovering the truth and more about confronting how deeply it has corroded the people involved. Liao Fan's world-weary cop doesn't chase redemption so much as drunkenly stumble through its absence, and embarks on an infatuation that feels equally as enigmatic as it does desperate. It's certainly a slow burn, but there's something hypnotic about watching the mundane and the horrific quietly bleed into each other in neon-lit nightscapes and snow-covered streets, even though it doesn't quite culminate in a way that feels entirely rewarding."
The Great Beauty (2013),"Can definitely see why some people find this indulgent, but it seems to me that that is squarely by design. The Great Beauty is a film that plays like a journey through memories, with each scene just sort of happening without any explanation as to how we got there. It's a confrontation of mortality in such a way that I haven't felt since I watched Eternity and a Day - a film I largely preferred to this, mind you- where our protagonist is meandering not because they're lost, but because they're searching- perhaps for meaning, perhaps for feeling, or maybe just for the courage to feel again, like they once did."
The Monkey (2025),Shoots for juvenile humour and shock value instead of anything substantial. Would have worker much better if it was just a full version of the opening before the time skip.
Sinners (2025),"A raucous and riotous romp that Ryan Coogler directs the hell out of, propelled by an unrelenting electric guitar score by Göransson. Partly inspired by Bigelow's Near Dark , and partly a kaleidoscopic purview of Black America, played out as a salaciously charged Western-Musical hybrid that pulses with style at every syncopated dancefloor stomp and reverberating gunshot. Coogler weaves genre like gospel, and intertwines folklore with soul, rage, and rapture- crafting a film that swings, albeit sometimes messily, between the sacred and the profane. It loses steam in a rushed third act, mostly because of the poor pacing leading up to that point and a few askew narrative decisions, but it's unmistakably alive."
Scent of a Woman (1992),"People pretending Pacino is bad here need a reality check. Sure it's not in his top five (hell, maybe even top 10) performances, but he's so good. Not really what I expected from this if I'm honest; mostly because I was just extrapolating from the title. Classic Hollywood fare, and there's nothing wrong with that every now and again. It's over the top and it's melodramatic, but it's fun."
Seeking a Friend for the End of the World (2012),Total mess tonally but those last 5 minutes certainly hit.
Thunderbolts* (2025),"Not so much the return to form that many were touting this to be; if anything this should be the baseline standard for what these films should be. Mostly surface level explorations of guilt and trauma thinly threaded through the narrative using Pullman's Sentry, which also leads to far too much retrospective exposition- a symptom again of having to reintroduce characters that some viewers have met before and others haven't. Still, Thunderbolts* boasts some of the better action sequences in the MCU since at least Shang Chi, with an opening birds-eye sequence that overshadows anything that comes after. It may inspire hope for following films in the franchise which choose to do their own thing, but it's still painfully redolent of the issues that can arise as byproducts of the format."
"Confess, Fletch (2022)","In the middle of a first time Mad Men watch, so it was cool to see Hamm and Slattery in some other roles together here. Definitely need more of these short, funny, B-movie, detective movies around- nice spin on the noir genre that somehow feels fresh too."
Letter from an Unknown Woman (1948),"""Have you ever shuffled faces like cards, hoping to find one that lies somewhere, just over the edge of your memory? The one you've been waiting for?"" Looks stunning and feels it too. A story of unrequited love told through the transience of memory. Keep saying this but I need to watch more noirs."
The Assassin (2015),"A totally spellbinding film that, if it doesn't grip you with its story- which is likely because it's as bare bones as bare bones gets, and Hou almost commendably makes no effort for The Assassin to be the palatable wuxia film the audience would expect from its title if they weren't already familiar with its director- then it almost certainly grabs your attention with its stunning on-location work. Similarly to Flowers of Shanghai , it pains me to rate this a 3.5 because I just simply cannot connect with this story, as much as I was mesmerised by it."
Total Recall (1990),It's tragic that I saw both the remake and a Rick and Morty parody before I saw this.
Blood Diamond (2006),Feels like it would have been far better had Tony Scott directed this.
Revanche (2008),A fascinating subversion of the revenge tale that makes use of some astonishing camerawork and opts for silence over a soundtrack to culminate in a film that's as broodingly suspenseful as it is restrained.
Paper Moon (1973),"Absolutely delightful. Not sure if you can quite emulate the dynamic of the real father-daughter duo because it's just so superb here, as are both Ryan and Tatum O'Neal- been said a million times but probably the best child actor performance ever. EDIT- Did not know about Ryan O'Neal being an a terrible father irl. Misfire there from me."
Sansho the Bailiff (1954),A transcendental fable of love and loss. Beyond words.
Le Grand Amour (1969),"Right up my alley- so quirky and clever with its silly, slapstick humour and dream sequences. The colours and the direction are so perfect, and while it slows down in the second half, I almost always had a smile on my face. Need to watch more Étaix."
Money Monster (2016),"Fine. Jack O'Connell probably the highlight, but I don't buy most of this- as if the cops would ever let them leave that studio and walk into the streets with a bomb. If you want a better corporate thriller with Clooney, just watch Michael Clayton instead."
Godland (2022),"Reminded me a bit of Hamaguchi's Evil Does Not Exist. Don't think it entirely knows what its thesis is, nor how to realise it, but if I said that these weren't some of the most jaw-droppingly gorgeous images I've ever seen, I'd be lying."
A History of Violence (2005),Viggo Mortensen with probably my favourite performance from a Cronenberg movie? It's up there for sure.
Masculin Féminin (1966),"""This film could be called 'The Children of Marx and Coca-Cola.' Understand what you will."" Socialism. Capitalism. Revolution. Conformity. Masculine. Feminine. Godard captures a shift in zeitgeist effortlessly here-through references to events, pop-culture, and an evaluation of the psyche of the young generation that were evolving through the culture that shapes them. He gauges a sense for the dissonance between ideals and lived reality, through a fragmented narrative as systematically broken as the characters themselves."
Yoyo (1965),"""And you- still a clown?"" ""Yes, of course."" A work of genius. Yoyo doesn't simply employ slapstick- it's built on it, layered with joke upon joke like a Rube Goldberg machine that pays homage to both Fellini and the silent era. Everything is a set-up for the next gag, and Étaix choreographs it all with remarkable precision."
"sex, lies, and videotape (1989)",James Spader is so good in this.
High Plains Drifter (1973),"Wonderfully shot, and the vengeful 'personification of Death' trope works well in what's essentially an antithesis to a classic Western (still need to see more), but this severely lacks a character to root for, since all of them are either degenerates or victims."
Mikey and Nicky (1976),"""I just don't want to do it anymore."" ""Do what?"" ""Be your friend."" ""Then I'll be your friend."" A perfect representation of male friendships and masculinity and the toxicity that can spawn from both, told using two real life friends. Falk is excellent, Cassavetes is outstanding."
Warfare (2025),"Not exactly innovative, but a real-time, mostly single-location, tightly-paced approach to a saturated sub-genre was probably the best way to go. Doesn't provide anything new with its thesis, but boasts enough sheer viscera and tactile sound design to coast through well enough."
Blue Steel (1990),"It's almost funny how many times this does the confrontation/narrow escape trope. As a follow up to Near Dark, this is pretty disappointing honestly, especially since it starts off pretty well."
Private Life (2018),"As much as most of us wouldn't want to admit it, the idea of procreation is at least a little bit selfish. The feeling that you want some part of you to succeed and live on once you've died is an inherently egocentric ideal. Jenkins acknowledges this but doesn't condemn it, nor does she condemn any of these characters, which is what makes Private Life so great. Reminiscent of Baumbach with Marriage Story or Mistress America , particularly with the literary, intellectual New York milieu, but different in the sense that it's less concerned with wit or self-laceration, and very rarely succumbs to melodrama. Hahn, Giammati, and Carter as the central trio are all wonderful. Certainly an under-seen gem."
Death of a Unicorn (2025),Feels like this took the most boring possible route for a concept this wild.
Wanda (1970),"A woman ambling aimlessly through life, cornered by passivity, and, as a result, gets taken advantage of at every turn, while doing nothing to combat it. Fuel to her own fire of slow self-erasure, drifting through an indifferent world as the camera follows with the same indifference. Barbara Loden is spectacular; shame she never made another film."
Mountainhead (2025),"Man, I miss Succession."
Superman (2025),"Feels a little like an overeager overcorrection of the character assassination that was Zack Snyder's interpretation of the Man of Steel (I still have no willingness to watch ZSJL ). James Gunn clearly wants to start his universe off with a bang and looks for inspiration in the past, where his now rivalling studio machine, the MCU, got its start with The Avengers. But where he fails is that he lifts the made-for-TV sheen that Whedon plastered over the 2012 film, and misses with what should have been a sleek and simple clean slate, inundating the audience with character after character, and location after location like a bad comic book. Some may be pleased by this trigger-happy approach, but what we've learnt from a barrage of Marvel misfires is that comic book movies are not comic books, and therefore can't follow the same narrative rules as one. That being said, Corenswet fits the part like a glove, and his chemistry with Brosnahan's Lois Lane is undeniable- although her character is surprisingly unsubstantial to the plot given just how much of the film she's in. But for me, Nick Hoult steals the show as a maniacal Lex Luthor, tackling his motivations with a nailed-on clarity that felt desperately needed. Nevertheless, the heart is there, and that's one place you haven't really been able to fault Gunn over his projects, and I'm cautiously optimistic to see what he has in store."
Presence (2024),"Feels reminiscent of Lowery's A Ghost Story , and almost certainly more a domestic drama than horror. Just wish it had stuck to that rather than trying to switch it up in the latter half."
Novocaine (2025),Actually enjoyed this far more than I thought I would. Lots of slapstick humour which is always appreciated.
Gladiator II (2024),"Was never really a big fan of the original Gladiator which is surprising considering how much of a Ridley Scott apologist I can be, but this naturally did little to nothing for me. I don't buy a single one of these character relationships, and all of it just felt like a rehash of a better movie- which is exactly what this is."
Cloud (2024),"Hard-pressed to call this 'deceptively straightforward' when in reality it just feels simply straightforward. Feels less like an analysis of digital malaise as a spiritual successor to Pulse, and more a light commentary on grind culture and the pursuit of escaping the monotony of a 9 to 5. Seems a bit too reverse engineered from that final scene, and while I commend his efforts to tackle modern day issues, this is probably my least favourite of Kurosawa's work thus far."
The Fantastic 4: First Steps (2025),"For the first time in a long time, an actually stylistically assured aesthetic is delivered in the MCU, with retro-futuristic production design that builds a world that feels unique and tactile. It comes as a welcome surprise that Marvel's first family is met with so much adoration out of the gate, although that doesn't last long once they're confronted with an impossible choice. This initial set up in the first act, notably montaging its way through the already well known origin story, is a fantastic (had to get it in there) introduction to what should have set the tone for the rest of the film, but unfortunately it really doesn't. Not only do the aesthetics get laid to waste, particularly in a rather catastrophic third act where the budget seemed to have run dry, but the dynamic between the characters that are a part of this so-called model family is nowhere to be seen. Each one gets their own, albeit shallow, set of motivations, but they never coalesce in the way that they should. It becomes less a realisation of a comic book and more a realisation of a storyboard, wherein everything is so surface level and rushed, including the mythos of two of Marvel's most awesome antagonists in Silver Surfer and Galactus, that it becomes more a pitch meeting for Avengers: Doomsday , with even diehard fans bracing for a cataclysm of cosmic proportions."
28 Years Later (2025),"One of the most batshit insane blockbusters I think I've seen in recent years. Parts Children of Men , parts Shaun of the Dead, and parts Mortal fucking Kombat . Danny Boyle infuses his 2000s style all over this, with quick cuts and jarring edits that feel just like the original film. Going to be crazy to see where Nia DaCosta takes this next, especially considering that ending which I'm sure will fly over the heads of much of the American audience."
Weapons (2025),"With Weapons , Cregger sets out to elucidate and give credence to the deep-seated fears of the American public. A film set in a small-town suburban school- named as it is- it's hard not to instantly think of school shootings. And while the film doesn't hold your hand like much of modern horror does, this idea, along with an atmosphere of collective trauma and survivor's guilt, is viscerally apparent. He builds suspense to a sharp point and pops the subsequent bubble in a brilliant clash between horror and comedy reminiscent of his first feature, Barbarian, but instead traverses the gory punchline through non-linear, interconnected vignettes of the ensemble, which, granted, each feel like they withhold the catharsis a bit too much with conflicting climactic cutaways, but also bring to the surface a demonstrable culmination of shared guilt and grief."
War of the Worlds (2005),Where's Ice Cube?
Fear and Loathing in Las Vegas (1998),"A trippy road trip that meanders through Vegas with a dizzying concoction of paranoia and anxiety. A deconstruction of the sensationalism behind the War on Drugs, and the rise of disillusionment in pursuit of a contorted American Dream. Depp is great, but del Toro is extraordinary. ""I was right in the middle of a fucking reptile zoo, and somebody was giving booze to these goddamn things. Won't be long now before they tear us to shreds."
Homicide (1991),"A clever spin on the jaded, disillusioned cop stereotype, and in fact, a spin on stereotypes from a range of different ethnic and societal groups. Mamet doesn't point any fingers per se, but instead begs questions as to whether any of these communities are as complicit in their own pitfalls as the systems that are meant to be there to protect them. Prescient today absolutely, although Mamet's stance on Zionism has notably changed from the relative neutrality he shows here- there's an ambivalence from how he displays the grooming of a disenfranchised Jewish man who'd sooner say he's a cop than a Jew, to the alienation and lack of assimilation of the Jewish people in America- to a more staunch supporter of the regime."
Hard Eight (1996),"PTA allergic to making a bad film it seems. I mean, what a debut this is. Not only looks gorgeous, but making a mellow, neo-noir-esque thriller with this cast, just a year after Casino came out- awesome. Feels the most Tarantino of PTAs filmography if that makes sense, but deftly more restrained."
About Endlessness (2019),"""I think time is rushing by, and I haven't accomplished anything."" A gallery of banalities curated in such a painterly way from Andersson, with each stroke of grey and beige journeying us through vignettes about the absurdity of life, as has been a common through line across the films of his I've seen thus far. It's sterile and forlorn, but there's still this overarching feeling of optimism that Andersson is trying to convey to us; an insistence to float above the misery and despair that edges us ever closer to an apocalyptic apathy, and choose to feel instead."
The Thursday Murder Club (2025),"A serviceable whodunnit that will no doubt run riot with all the British mums and dads- wouldn't be surprised to hear of this hitting records of some kind on Netflix UK. Frankly, this should be far more fun than it is; it focuses on all the most boring parts of the mystery, and the so-called club don't really work together as a team at all. Also... Chris Columbus directed this?!"
The Wind Will Carry Us (1999),"A confrontation between traditionalism and modernism, where the dubious intentions of the intruding crew hold a mirror up to Kiarostami's own practices as a filmmaker. So much of the film hides in shadows- characters and events withheld to the periphery while we focus on the deceptive simplicity of our protagonist, following him as he meanders through the mundanities of this small, secluded Iranian village. It breathes with absence that shapes into this atmosphere of a cinematic afterlife, where the loss of purpose reveals meaning rather than obfuscating it. It is fitting, then, that The Wind Will Carry Us borrows its name from a line of poetry, because the film itself feels so much like the visual manifestation of one."
Highest 2 Lowest (2025),"As seems to be the general consensus, a pretty woeful first act that had me worried that this was going to be composed of all the same gauche, washed-out stylisations of the rest of Apple TV Plus' catalogue, Killers of the Flower Moon notwithstanding. But it really does pick up after that, with Spike's energy transferred into the camera and its movement. He, and perhaps Guadagnino, seem to be the only directors with the gall to remake such cinematic heavyweights, so while this had practically zero chance of coming close to the masterpiece that is Kurosawa's film, you still have to commend the effort. Highest 2 Lowest can feel preachy at times, but that's likely a byproduct of Spike's overcorrection to making this feel as rooted in the modern world as possible (if Apple's constant product placement didn't do that already). The hills of Yokohama are replaced by the skyscrapers of New York City, and Mifune's sybaritic shoemaker Kingo Gondo is switched out for Washington's music magnate David King, who, much like in the original film, finds himself between a rock and a hard place in a case of mistaken identity in a kidnapping. It's quite brilliant that our first confrontation between King and the perpetrator is between the glass of a music studio, not only because it's A$AP Rocky on the other side, but because of the parallels to how High and Low comes to a conclusion, which is mirrored again later on. It's not quite encapsulating nor incisive enough to consider it a worthwhile remake; though I suppose there's no value in weighing art in that way, which is what Spike's thesis seems to be by the end of the film."
We're All Going to the World's Fair (2021),"Ever so slightly bare-bones for me, but if the scale tipped too far the other way I'd be more annoyed, so I guess this is fine. There's definitely a strive to capture specific epochs through Schoenbrun's two films, with this one tackling adolescence and internet challenges like a warped version of Eighth Grade, so while it can feel like a short film's worth of ideas stretched into feature length, but it still vividly evokes early 2010s net-culture, fused with the singular, isolating atmosphere of the pandemic. Sort of the antithesis of a coming-of-age story, where the periphery of the era feels thick with a melancholic nostalgia."
Twin Peaks (1989),"Save for my mistake with Fassbinder's World on a Wire , I haven't logged a TV show on Letterboxd since I started my account at the end of 2021. It's something I decided early and stuck to, a bit like how I decided to write a review for every feature-length and short film I watch (something I've considered abandoning in part on more than multiple occasions). Having said all of that, it seemed apt, especially with David Lynch's passing earlier this year, that Twin Peaks be the thing that becomes an exception to that rule, and I'm logging the pilot here as proxy for the whole first 2 seasons of the show. I doubt I'll fit all my thoughts nor articulate them as properly as I would like to, but I'll try. I really didn't know what to think going into the show. Apart from what I've experienced across Lynch's other work, I really had no reference for what this would be like, which is surprising since I carry little hints or spoilers for just about every popular TV show I haven't yet seen- the downside of having a good memory is that these are near impossible to gaslight myself into forgetting. But I didn't really have that for Twin Peaks , and so I began quite surprised of just how straightforward it seemed at first, having expected Lynch's surrealism right from the jump. But I suppose that's what makes it all that affecting when it does arrive; credit to him and Frost for figuring that out. Not only is that balance met perfectly, but also in conjunction with earnest, heartfelt, funny, thrilling, and mysterious moments across the whole show, an indelible score by Badalamenti, and Kyle MacLachlan, who knocks it out of the park in the lead role. It certainly loses a little steam in parts of Season Two after Laura Palmer's arc sort of concludes- as much as it can with her ghost haunting the narrative and every facet of the town and its people- but it brings it back around with an ending that's just so remarkably bleak (and frustratingly 'incomplete', though I can't imagine how much worse that feeling would have been in the 90s) it's impressive in and of itself. Nothing exists quite like Twin Peaks , only in pastiches and homage that have come after, and I'm quite certain that nothing quite like it will ever exist again. It's a frightening and comforting thought, though I suppose it'll be an exciting feeling to actually be there for when a show comes close to emulating this balance of heart and spirit, if that time ever comes. Now onto Fire Walk With Me and The Return. I'll probably review The Return and then not review another TV show again. I did a few on Serializd but the app kinda sucks so I never actually stayed up to date with any of my TV show watches, nor do I plan to. ""I'll see you again in 25 years."""
Twin Peaks: Fire Walk with Me (1992),"Equally devastating in its sadness as it is tragically horrific, Fire Walk With Me illuminates what we had only known about the last moments of Laura Palmer's life through secondhand accounts, piecing together the gutting details we previously understood only in part. It constructs monsters and otherworldly spaces, both to externalize and to bear the unbearable weight of suffering. Every connection is transactional, whether forged in love or malice, because even in her most unfathomable pain, even kindness could feel like a burden, and in retreating from these rare gestures of care, Laura was, in her own tragic way, trying to shield those who loved her from what she felt was the inescapable, contagious weight of her suffering. Sheryl Lee is transcendental."
Inherent Vice (2014),"Now finally completed Paul Thomas Anderson's filmography, and as I suspected, not a bad film among the lot. It's scintillatingly impressive how much he keeps you in stride here with a plot that's basically (intentionally so, of course) incomprehensible. One of those ones that you just have to let wash over you than try to grab onto anything in particular. Knockout performances all round, Phoenix and Brolin in particular."
One Battle After Another (2025),"I mean, talk about capturing the zeitgeist. Paul Thomas Anderson is invariably one of the best and most consistent filmmakers working today, well within the discussion of being top of his class of contemporaries, and so when you heard that Warner Brothers was giving him a $150 million stimulus cheque to make his new film, you knew that you just had to be in the cinema to watch it. Opening with barbed wire-encased detention centres holding entire families of people feels already horrifyingly redolent of today's America, until a tacitly placed 16-year time jump shows us that nothing has really changed at all. In One Battle After Another, revolutions are as cyclical as the word itself, and the people that enact them are tired and worn, endlessly striving for a change that never comes. But PTA doesn't leave us in this pit of nihilism, no. Instead, surged forward almost without pause by yet another remarkable score from Jonny Greenwood, he takes us on this wild ride as up and down as the film's wondrous concluding set piece and sets forth an almost rallying war-cry for future generations to remain steadfast and carry the mantle of 'revolutionary' forwards. It's anarchic to the tune of Fight Club , but less a reflection on toxic masculinity and more on the generic delusions of grandeur and circle-jerk inflations of ego of white nationalists. Penn plays a chauvinistic caricature of every right-wing, roid-raged reprobate rolled into one- and it's one of the funniest performances in years. Chase Infiniti is a revelation and a half, and DiCaprio- you almost forget just how good he is until you watch him on screen again, and he's just magnetic, adding another triumph to PTA's repertoire of iconic protagonists- and the first one to get a Fortnite skin! Fingers crossed for Daniel Plainview next: the pickaxe is already on theme."
Rebel Ridge (2024),"""Did I put too much sauce on that?"" Instant movie star stuff from Aaron Pierre- what a commanding performance. Think this starts super strong, but flails as it comes to an end. Has to stick to its guns a little more and be the Western it's trying to be, as it spends too much time trying to prove what we already know, although at least it does so with a charged pace."
Memoria (2021),"""Why are you crying? These are not your memories."" One of those films where whatever you derive from it, whatever message relays itself to you through the frequencies, is precisely what it's about. Proof of the maxim that the filmmaker's intention is among the least important parts of the experience for the viewer."
10 Cloverfield Lane (2016),"John Goodman is so good here. It really feels like I haven't seen him in a film in a while, although I just saw that he's going to be in Iñárritu's new film which should be interesting."
Winter Sleep (2014),"How can the path to hell be paved with good intentions, if those intentions are nothing but vanity disguised as virtue? Nuri Bilge Ceylan's Winter Sleep wrestles with this question across the span of over three hours, setting us down in the vast, breathtaking landscapes of Anatolia only to draw us inward, away from freedom and into confinement. The wide horizons that promise release are constantly withheld, replaced instead by rooms thick with words- long, piercing conversations that trap the characters as surely as the snow and stone around them."
Winter's Bone (2010),A stripped-back thriller with a good breakout performance from Jennifer Lawrence and a great one from John Hawkes. A bit too 'this place and then this place and then this place' for me- you feel with low budget indies like this they should just focus on a handful of locations and then the scenery.
Cold Fish (2010),"Could see people absolutely hating this- I mean, even I'm not fully convinced Sono isn't some kind of pervert from watching his films. But there's just no way you predict where this ends up from where it starts- and I'm not sure any other director does it quite like him. It's depraved and darkly comedic, and doesn't let up once it gets going."
They Live (1988),"""Maybe they're always been with us... those things out there. Maybe they love it... seeing us hate each other, watching us kill each other off, feeding on our own cold fuckin' hearts..."" Doesn't flow as slickly as some of Carpenter's other work, but seriously who cares with execution like this? Brilliant imagery, pulpy one-liners, and messaging that's still prevalent to this day. And what an awesome fight scene."
The Phoenician Scheme (2025),"Feel like I'm on the other end of the spectrum to most as I greatly preferred this to Asteroid City , and it's likely my favourite Wes Anderson film since The Grand Budapest Hotel. Benicio is always fantastic, and the father-daughter relationship actually gets me invested in this story, compared to the sterility of his last two films. It's still a little too distant for me, but it's certainly the most fun one of Wes' films has felt in a while, and it hardly needs to be said, but it looks sensational."
The Descent (2005),"Assuredly one of the most potent and viscerally effective horror movies of all time. If the first half of intense claustrophobia doesn't get you, then the monsters certainly will; a twist I was aware of, but that certainly didn't make it any less haunting. Also didn't know just how gruesome this got-truly an uncomfortable experience. You'll never catch me doing any cave bullshit like this."
The Aviator (2004),"One of Scorsese's bigger films, definitely a little long but much of this is so impressive, especially in the first act, that it almost doesn't matter. Need to see Howard Hughes' films now, naturally."
The New World (2005),"Watched the extended cut of this. Likely the most cohesive narrative across Malick's films I've seen thus far, not that that was something I ever really needed when I was watching them. Just a gorgeous film on all fronts. A reversal from the discovery of a 'new world' from one perspective, to a contortion of that discovery from another. Questions whether love is an innate product of nature, or a garden we can sow and nurture and tend through the passing of time."
"O-Bi, O-Ba: The End of Civilization (1985)","In Szulkin's third vision of apocalypse, the zombified remnants of humanity shuffle through a decaying concrete warren, sustained by a weaponised myth of salvation. Hope itself becomes the virus- a self-replicating fiction that keeps despair at bay, a narrative that spurs a narrative. O-Bi, O-Ba stands as another bleak, fascinating entry in his tetralogy, a grimy, desolate meditation on belief at the end of the world."
A House of Dynamite (2025),"About as bland and uninspired past a riveting first act as it gets. Who thought it was a good idea to repeat the climax not once, but two more times without any real change to the context? I prefer my propaganda with a much healthier dose of fun, please, Ms. Bigelow- see Top Gun: Maverick."
Sorcerer (1977),"Makes you think, ""How the hell is this ever going to come together?"" at the start, and then proceeds to come together in the most breathtakingly exhilarating way."
The Long Walk (2025),"The Long Walk feels hopelessly hamstrung by the era of YA novel adaptations from the early 2010s- the likes of The Hunger Games (not surprised to then see that Lawrence had directed the bulk of that series) and The Maze Runner - adopting their same self-serious bleakness without a trace of the cultural bite that such stories need to resonate. It's so packed full of stretches of didactic dialogue about the failings of society that it forgets to actually engage with them in any meaningful way, thematically or cinematically."
Mahjong (1996),"""You thought the 19th century was the glorious age of Imperialism? Wait until you see the 21st century."" Happy birthday to the master Edward Yang. Certainly gone too soon- can only wonder what films he'd have made if he were still alive today. Been apprehensive to watch another one of his films because it just means I have one less to watch for the first time. Spectacular as always; probably his most accessible work, certainly his funniest. Believe I only have A Confucian Confusion left of his features."
Die My Love (2025),"A fly buzzing, a dog barking, a baby crying- the ambient noise of disintegration, channeled through a career-best performance from Jennifer Lawrence, whose fully committed approach to the role is matched only by the singular vision of one of today's most distinctive directors, Lynne Ramsay. Die My Love is messy- purposefully and pridefully so- but messy nonetheless. A wanton spill of internal struggle poured out into the external world. It's not so much a straightforward examination of postpartum depression as it is a fierce amalgam of emotion, madness, and raw, unfettered humanity. It calls to mind A Woman Under the Influence , with that same collision of love and frailty. But where Cassavetes observed from within the trembling walls of a home, Ramsay seems to tear through them. Though both depict the claustrophobia of domesticity, Rasmay's gaze is more primal, suffused with a fevered intensity that feels perpetually on the verge of rupture. But this very fever, this deliberate collapse of form, comes at the cost of the sustained, aching empathy Cassavetes so potently achieved. It is a bold, unrestrained work- of that there is no question- but its rawness is its beauty and its limitation alike."
3 Women (1977),Probably the most affected I've been by one of Altman's films so far- adore how he moves the camera here. Sissy Spacek is tremendous.
L'Eclisse (1962),"Antonioni's eye for composition is masterful, but this largely didn't work for me. A vague look at the insular disconnect of the bourgeoisie, with allusions to the ills capitalism that never feel explored because we focus on a romance that I never really bought. A lot of people seem to love the ending of this, but that seemed to be a summary of everything I didn't like about the film. In actual fact, I thought the inverse: the opening was one of the best I've ever seen-loved the visual storytelling and the isolated mood it sets up, but it never really maintains it."
If I Had Legs I'd Kick You (2025),"For all intents and purposes, If I Had Legs I'd Kick You (and yes, I'm still hung up on this year's aversion to commas- Die My Love being another offender) is a horror movie. Like Lynne Ramsay's film, it makes use of jarring audiovisual flourishes to plunge us into the mind of a mother on the brink, hemming us in with suffocating close-ups and anxiety-inducing psychedelia, similarly all anchored by a superb lead performance- Best Actress race this year will be a good one. But despite this, the film ultimately feels a bit gimmicky- and, frankly, a little safe. Making Rose Byrne's character a therapist is narratively too convenient; the hole-in-the-ceiling metaphor is too on the nose; and the barrage of trippy sounds and visuals- particularly the 'not seeing the daughter until the end' part- ends up feeling like a shortcut rather than an earned way of making us feel those same emotions organically."
